ballot_number,rank_groups,rejected
1,"[[""jul-5""], [""jun-14""], [""jun-7""], [""may-31""], [""sep-6""], [""sep-13""], [""sep-20""], [""sep-27""]]",[]
2,"[[""jul-5""], [""jun-14""], [""jun-7""], [""may-31""], [""sep-6""], [""sep-13""], [""sep-20""], [""sep-27""]]",[]
3,"[[""jul-5""], [""jun-14""], [""may-31"", ""jun-7""], [""sep-6"", ""sep-13"", ""sep-20""]]","[""sep-27""]"
4,"[[""jul-5""], [""jun-14""], [""sep-6""], [""sep-13""], [""sep-20""], [""sep-27""], [""jun-7""], [""may-31""]]",[]
5,"[[""jul-5""], [""may-31"", ""sep-6""], [""jun-7"", ""sep-13""], [""sep-20""]]","[""jun-14"", ""sep-27""]"
6,"[[""jul-5""], [""sep-27""], [""sep-20""], [""sep-13""], [""sep-6""], [""jun-14""], [""jun-7""]]","[""may-31""]"
7,"[[""jul-5""], [""sep-6""], [""sep-13""], [""may-31"", ""sep-20""], [""jun-7""], [""jun-14""], [""sep-27""]]",[]
8,"[[""jul-5""], [""sep-6""], [""sep-13""], [""sep-20""], [""sep-27""]]","[""may-31"", ""jun-7"", ""jun-14""]"
9,"[[""jun-14"", ""jul-5"", ""sep-6""], [""sep-13""], [""jun-7""], [""may-31"", ""sep-20"", ""sep-27""]]",[]
10,"[[""jun-14"", ""jul-5""], [""jun-7""], [""may-31""]]","[""sep-6"", ""sep-13"", ""sep-20"", ""sep-27""]"
11,"[[""jun-14"", ""jul-5""], [""jun-7""], [""sep-20"", ""sep-27""]]","[""may-31"", ""sep-6"", ""sep-13""]"
12,"[[""jun-14""], [""jul-5""], [""jun-7""], [""may-31""], [""sep-13""], [""sep-20""], [""sep-6""], [""sep-27""]]",[]
13,"[[""jun-14""], [""jun-7"", ""jul-5""], [""may-31""], [""sep-6""]]","[""sep-13"", ""sep-20"", ""sep-27""]"
14,"[[""jun-14""], [""jun-7""], [""jul-5""], [""may-31""], [""sep-6"", ""sep-13"", ""sep-20"", ""sep-27""]]",[]
15,"[[""jun-14""], [""jun-7""], [""may-31""], [""jul-5""], [""sep-20""]]","[""sep-6"", ""sep-13"", ""sep-27""]"
16,"[[""jun-14""], [""jun-7""], [""may-31""]]","[""jul-5"", ""sep-6"", ""sep-13"", ""sep-20"", ""sep-27""]"
17,"[[""jun-14""], [""jun-7""], [""sep-13""], [""sep-20""], [""sep-6""], [""may-31""], [""jul-5""], [""sep-27""]]",[]
18,"[[""jun-14""], [""jun-7""], [""sep-6""], [""jul-5""], [""sep-13""], [""may-31""], [""sep-20""], [""sep-27""]]",[]
19,"[[""jun-14""], [""jun-7""], [""sep-6""], [""jul-5""], [""sep-13""], [""may-31""], [""sep-20""]]","[""sep-27""]"
20,"[[""jun-14""], [""jun-7""], [""sep-6""], [""may-31""], [""sep-13""], [""sep-20""], [""sep-27""]]","[""jul-5""]"
21,"[[""jun-14""], [""jun-7""], [""sep-6""], [""sep-13""], [""may-31""], [""sep-20""], [""sep-27""], [""jul-5""]]",[]
22,"[[""jun-14""], [""jun-7""]]","[""may-31"", ""jul-5"", ""sep-6"", ""sep-13"", ""sep-20"", ""sep-27""]"
23,"[[""jun-14""], [""sep-20""], [""sep-27""], [""jul-5""]]","[""may-31"", ""jun-7"", ""sep-6"", ""sep-13""]"
24,"[[""jun-14""], [""sep-6""], [""jun-7""], [""jul-5""], [""sep-13""], [""sep-20""], [""sep-27""], [""may-31""]]",[]
25,"[[""jun-14""], [""sep-6""], [""sep-13""], [""jul-5""], [""jun-7""], [""may-31""], [""sep-20""], [""sep-27""]]",[]
26,"[[""jun-7"", ""jun-14"", ""sep-6""], [""may-31""], [""jul-5"", ""sep-13""], [""sep-20""]]","[""sep-27""]"
27,"[[""jun-7"", ""jun-14""], [""jul-5""], [""may-31""], [""sep-6""], [""sep-13""], [""sep-20"", ""sep-27""]]",[]
28,"[[""jun-7"", ""jun-14""], [""may-31""], [""jul-5""]]","[""sep-6"", ""sep-13"", ""sep-20"", ""sep-27""]"
29,"[[""jun-7"", ""jun-14""], [""sep-13""], [""may-31""], [""sep-20""], [""sep-6""], [""sep-27""]]","[""jul-5""]"
30,"[[""jun-7"", ""sep-13""], [""sep-6""], [""sep-20""], [""may-31"", ""sep-27""], [""jun-14""]]","[""jul-5""]"
31,"[[""jun-7"", ""sep-6""], [""sep-13""], [""sep-20""], [""jun-14"", ""sep-27""], [""may-31""]]","[""jul-5""]"
32,"[[""jun-7""], [""jul-5""], [""may-31"", ""sep-13"", ""sep-20""], [""sep-6""], [""sep-27""]]","[""jun-14""]"
33,"[[""jun-7""], [""jun-14""], [""may-31""], [""jul-5""], [""sep-6""], [""sep-13""], [""sep-20""], [""sep-27""]]",[]
34,"[[""jun-7""], [""jun-14""], [""may-31""], [""sep-13""], [""sep-20""], [""sep-27""]]","[""jul-5"", ""sep-6""]"
35,"[[""jun-7""], [""jun-14""], [""may-31""], [""sep-6""], [""sep-13""], [""sep-20""], [""sep-27""], [""jul-5""]]",[]
36,"[[""jun-7""], [""jun-14""], [""sep-13""], [""may-31""], [""sep-20""], [""sep-27""]]","[""sep-6""]"
37,"[[""jun-7""], [""jun-14""], [""sep-6""], [""sep-13""], [""may-31""], [""sep-20""], [""jul-5""], [""sep-27""]]",[]
38,"[[""jun-7""], [""jun-14""], [""sep-6""], [""sep-13""], [""may-31""], [""sep-20""], [""jul-5""], [""sep-27""]]",[]
39,"[[""jun-7""], [""may-31""], [""sep-13""], [""sep-20""], [""sep-27""], [""jul-5""], [""jun-14""], [""sep-6""]]",[]
40,"[[""jun-7""], [""may-31""], [""sep-20""], [""jun-14""], [""sep-13""], [""sep-27""], [""sep-6""], [""jul-5""]]",[]
41,"[[""jun-7""], [""may-31""], [""sep-27""], [""jun-14""], [""sep-6""], [""jul-5""], [""sep-20""], [""sep-13""]]",[]
