week_start_2027,week_end_2027,median_daily_high_c,p95_daily_high_c,median_daily_low_c,p05_daily_low_c,wet_day_probability_pct,years_with_wet_week_pct,mean_weekly_rain_mm,p90_weekly_rain_mm,mean_days_at_or_above_35c,mean_nights_at_or_above_20c,recent_vs_1991_2020_mean_high_delta_c,source_url
2027-05-03,2027-05-09,25.1,30.4,12.2,7.5,18,80,6.8,19.9,0.0,0.0,1.5,https://archive-api.open-meteo.com/v1/archive?latitude=41.7005615&longitude=-0.1363139&start_date=1991-01-01&end_date=2025-12-31&daily=temperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum&timezone=Europe%2FMadrid
2027-05-10,2027-05-16,24.1,32.1,12.3,8.7,25,75,13.7,32.7,0.1,0.0,0.6,https://archive-api.open-meteo.com/v1/archive?latitude=41.7005615&longitude=-0.1363139&start_date=1991-01-01&end_date=2025-12-31&daily=temperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum&timezone=Europe%2FMadrid
2027-05-17,2027-05-23,25.9,32.8,12.9,8.8,24,75,8.9,18.7,0.1,0.1,0.5,https://archive-api.open-meteo.com/v1/archive?latitude=41.7005615&longitude=-0.1363139&start_date=1991-01-01&end_date=2025-12-31&daily=temperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum&timezone=Europe%2FMadrid
2027-05-24,2027-05-30,28.1,33.9,14.8,9.8,21,75,11.1,32.6,0.2,0.1,0.0,https://archive-api.open-meteo.com/v1/archive?latitude=41.7005615&longitude=-0.1363139&start_date=1991-01-01&end_date=2025-12-31&daily=temperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum&timezone=Europe%2FMadrid
2027-05-31,2027-06-06,27.9,34.6,15.9,11.5,21,80,10.0,22.6,0.3,0.1,0.3,https://archive-api.open-meteo.com/v1/archive?latitude=41.7005615&longitude=-0.1363139&start_date=1991-01-01&end_date=2025-12-31&daily=temperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum&timezone=Europe%2FMadrid
2027-06-07,2027-06-13,29.6,36.9,17.2,12.0,24,65,11.8,28.2,0.9,1.2,0.9,https://archive-api.open-meteo.com/v1/archive?latitude=41.7005615&longitude=-0.1363139&start_date=1991-01-01&end_date=2025-12-31&daily=temperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum&timezone=Europe%2FMadrid
2027-06-14,2027-06-20,31.0,38.6,18.1,12.9,18,75,9.6,31.3,1.2,1.8,0.4,https://archive-api.open-meteo.com/v1/archive?latitude=41.7005615&longitude=-0.1363139&start_date=1991-01-01&end_date=2025-12-31&daily=temperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum&timezone=Europe%2FMadrid
2027-06-21,2027-06-27,33.3,38.3,19.6,13.6,14,55,4.2,9.7,1.9,3.0,0.3,https://archive-api.open-meteo.com/v1/archive?latitude=41.7005615&longitude=-0.1363139&start_date=1991-01-01&end_date=2025-12-31&daily=temperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum&timezone=Europe%2FMadrid
2027-06-28,2027-07-04,33.7,39.6,20.1,14.4,17,75,5.8,13.3,2.5,3.6,0.9,https://archive-api.open-meteo.com/v1/archive?latitude=41.7005615&longitude=-0.1363139&start_date=1991-01-01&end_date=2025-12-31&daily=temperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum&timezone=Europe%2FMadrid
2027-07-05,2027-07-11,34.2,38.8,20.2,15.3,10,65,6.4,11.9,2.6,3.9,1.5,https://archive-api.open-meteo.com/v1/archive?latitude=41.7005615&longitude=-0.1363139&start_date=1991-01-01&end_date=2025-12-31&daily=temperature_2m_max%2Ctemperature_2m_min%2Cprecipitation_sum&timezone=Europe%2FMadrid
