date,municipality,meteoalerta_zone,comarca,level,source_url
2023-06-01,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-06-01
2023-06-02,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-06-02
2023-06-03,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-06-03
2023-06-04,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-06-04
2023-06-05,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-06-05
2023-06-06,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-06-06
2023-06-07,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-06-07
2023-06-08,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-06-08
2023-06-09,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-06-09
2023-06-10,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-06-10
2023-06-11,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-06-11
2023-06-12,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-06-12
2023-06-13,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-06-13
2023-06-14,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-06-14
2023-06-15,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-06-15
2023-06-16,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-06-16
2023-06-17,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,yellow,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-06-17
