response_id,submitted_at,language,anonymity,respondent_types,may-3-9,may-10-16,may-17-23,may-24-30,may-31-jun-6,jun-7-13,jun-14-20,jun-21-27,jun-28-jul-4,jul-5-11,sep-6-12,sep-13-19,sep-20-26,sep-27-oct-3,oct-4-10,oct-11-17,comment
68db1eba-1c37-486e-99c8-991dd5e82fcb,2026-08-23T18:52:06Z,en,Anonymous,want-to-come|builder-barrio|strike,build-barrio|event|org-strike,build-barrio|event|org-strike,build-barrio|event|org-strike,build-barrio|event|org-strike,build-barrio|event|org-strike,build-barrio|event|org-strike,build-barrio|event|org-strike,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,
0240a52e-150b-4c1f-a7ea-1aff4277da23,2026-08-23T19:10:05Z,de,Anonymous,want-to-come,event,event,event,event,event,event,event,cannot,cannot,cannot,event,event,event,event,event,event,
5cbb5517-a2d1-4473-a758-4bdc181fd7c0,2026-08-23T19:10:11Z,en,Anonymous,want-to-come|builder-barrio|strike,build-barrio|event,build-barrio|event,build-barrio|event,build-barrio|event,build-barrio|event,build-barrio|event,build-barrio|event,build-barrio|event,build-barrio|event,build-barrio|event,build-barrio|event,build-barrio|event,build-barrio|event,build-barrio|event,build-barrio|event,build-barrio|event,"Can come for all dates, but I have a strong preference for the event not being cancelled!"
b4399c2c-8188-480f-a598-4286caddf3e8,2026-08-23T19:15:15Z,en,Anonymous,want-to-come|builder-barrio|other-burns,event,event,event,event,event,cannot|event,event,cannot,cannot,cannot,cannot,event,event,event,event,event,
6752c548-82e0-4ddc-b4d1-2858687c88ef,2026-08-23T19:15:22Z,fr,Anonymous,want-to-come,cannot,cannot,cannot,cannot,cannot,event,cannot,cannot,event,event,cannot,cannot,cannot,cannot,cannot,cannot,
29c2c234-5bc7-42dc-b5d7-3d566fe109f8,2026-08-23T19:15:59Z,fr,Anonymous,want-to-come|builder-barrio,cannot,cannot,cannot,cannot,cannot,cannot,cannot,event,build-barrio|event,build-barrio|event,build-barrio|event,build-barrio|event,build-barrio|event,build-barrio|event,build-barrio|event,build-barrio|event,
71ffd458-fc14-4236-a06b-b80c71cff1e7,2026-08-23T19:17:44Z,en,Anonymous,want-to-come|builder-barrio,event,event,event,event,event,event,cannot,cannot,cannot,cannot,cannot,event,event,event,event,event,This is the reality of the world we live in now. Wildfires and extreme heat must be adapted to.
10626ed6-85a2-4efa-8c88-32271fc71960,2026-08-23T19:18:02Z,de,Anonymous,want-to-come|other-burns,build-barrio|build-event,cannot,cannot,cannot,build-barrio|build-event,build-barrio|build-event,build-barrio|build-event,build-barrio|build-event,build-barrio|build-event,build-barrio|build-event,build-barrio|build-event,cannot,cannot,cannot,cannot,build-barrio|build-event,"May we have our local burn, dates already fixed as reservations takes a year ahead. Guess this is for many events similar. 

I‘m all for changing dates, based on what has been collected. 2027 will lead to some pain for other events / or people not coming to Spain. 2028 should be than better. "
4553111a-8853-4521-9213-8cdde899caa0,2026-08-23T19:19:16Z,ca,Anonymous,want-to-come|builder-org|builder-barrio|other-burns,event,event,event,event,event,build-barrio|build-event|event,build-barrio|build-event|event,event,event,event,build-barrio|build-event|event,build-barrio|build-event|event,build-barrio|build-event|event,build-barrio|build-event|event,build-barrio|build-event|event,build-barrio|build-event|event,Nothing
9e3728d6-7f02-41f4-9e35-eebb877ec9b4,2026-08-23T19:20:15Z,en,Anonymous,want-to-come,event|org-strike,event|org-strike,event|org-strike,cannot,cannot,cannot,cannot,cannot,cannot,cannot,event|org-strike,build-barrio|build-event|event|org-strike,build-barrio|build-event|event|org-strike,build-barrio|event|org-strike,build-barrio|event|org-strike,cannot,"I will come almost all year round, but I am more keen to get cooler temperature with higher chance of rain. I will also be at crème brûlée so won’t be able that week either"
